,Product,Date,Customer Name,Ratings,Title,Reviews
0,Apple iPhone XR (128GB) - Black,12 December 2018,Sameer Patil,3.0 out of 5 stars,"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?","  NOTE:@ This is detailed comparison between iPhone 8, X, XS & XR, after using each of them for a month.@ I am also stating the detailed battery performance of each phone.This is a long review, but its worth if you willing to spend your hard earned money.BUILT QUALITY :--------------------# iphone 8 and XR have glass front and back, ringed with metal frames (aluminum), which looks more premium and worth the price you pay. But also are susceptible  to easy damages.# iphone X and XS are made of stainless steel, which don't appears that luxurious comparatively, but are more sturdier and less prone to damage compared to 8 and XR.# Among all iphone 8 is lightest and XR heaviest, with X and XS being almost similarly weighed.# To me in this parameter, iphone 8 seems the better choice.DISPLAY :-----------# iphone 8 has smallest display(4.7"") and XR the biggest(6.1""), with X and XS with same size(5.8""), so is the screen to body ratio.# Display resolution of X and XS is same and the best amongst all, while 8 and XR is same and lowest ( NOT even FHD ). Similarly, X & XS have OLED, while 8 & XR have LCD :P# According to my usage I found X & XS to be much better value for money in terms of display quality.SYSTEM PERFORMANCE :-----------------------------# I noticed XS performing slightly better than XR, though both of them have same processor. Followed by X and 8.# If you are normal user like me then you wont mind using iphone 8 over XS, as 8 can do everything that XS can easily.# I found X to be better value for money in this segment.BATTERY PERFORMANCE :------------------------------# All 4 phones are equipped with fast charging, wireless charging.# XR use to last over 20 hours with normal multitasking, with 4G ON continuously all the time.*XS use to last between 16-18 hours, X did 14-15 hours and 8 use to lasts upto 12 hours.# With Heavy multitasking, XR lasted over 11 hours, XS did over 9 hours, X lasted over 8 hours and 8 lasted upto 6 hours.# Certainly XR outshines others in battery performance.CAMERA :-----------# In this segment, I noticed iphone X to be the best among all when using Rear camera.* Colours are more punchy and true to real. Night time photography is also excellent.# XS sometimes does better over X, but not always.# Front camera of X, XS and XR are same and performs almost similarly.# Each one supports 4K, OIS, slow motion.PRICE (64GB) :---------------8 - Rs.55KX - Rs.75KXR - Rs.77kXS - Rs.99K# Here certainly 8 is winner :PP.S: you get a physical home button on iphone 8, which certainly comes handy.VERDICT :-----------After using each phone, I can conclude that if you are tight on budget then going for iphone 8 is best choice.If you have 80k to spare, then certainly go for iphone X. And if budget is not in your dictionary, then certainly go for iphone XS.To me iphone XR is not worth the price at all, except the battery performance, it doesn't have any noticeable parameter.If you already own a iphone 7, then don't upgrade unless, you have money to waste. If you have 6s or below, then only go for upgrade.Hope this review helps."
1,Apple iPhone XR (128GB) - Black,17 November 2018,Amazon Customer,1.0 out of 5 stars,Don't buy iPhone xr from Amazon.,  Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.
2,Apple iPhone XR (128GB) - Black,27 January 2019,A,5.0 out of 5 stars,Happy with the purchase,  Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon
3,Apple iPhone XR (128GB) - Black,2 May 2019,Shubham Dutta,1.0 out of 5 stars,Amazon is not an apple authorised reseller. Please take a note.,"  So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!"
4,Apple iPhone XR (128GB) - Black,24 May 2019,Nepuni Lokho,5.0 out of 5 stars,Excellent Battery life and buttery smooth UI,"  I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.The camera is better compared to my previous android phone. The camera support ""live photo"" which I disabled it because I'm not used to it. It supports video recording at 4K 60 FPS. The camera also supports panorama mode which gives amazing results. Selfie is also good and the screen light up as flashlight when taking a selfie in the dark.I'm not a gamer but I play Clash Royale and the game works smoothly. Since the phone has the latest processor I'm sure it won't be a problem even with the latest game.I'm loving iOS so far but I miss the bottom keys found on Android. iOS is fluid and there are no flaws in the OS which I've encountered. I've got two minor iOS updates after my purchase and love how updates are distributed globally all at the same time. One minor inconvenience I found on iOS is to download apps more than 150 MB I'm forced to connect to wifi and so far I've not found a work around it. I got adapted to gesture navigation like it was something I've been using for ages.Face ID is an absolute joy to have as I don't have to do anything to unlock my phone, I just hold my phone and the phone is unlocked. And did I mention that Face ID works even in the dark? The lack of notification LED is not a big inconvenience as the screen lights up to show the notification every time I hold up my phone.Regarding the huge criticism it got for the low screen resolution, I don't see any problem as I hardly stream YouTube in 4K. I can view YouTube videos in 1080p without a problem which I feel is good enough as service providers in India never give enough data speed to stream videos in 4K. Regarding the screen in direct sunlight, there's no problem as the screen is clearly visible even under direct sunlight.The speakers on this one are a huge plus point over other devices as the speakers give a 3D surround sound like system. I love the speakers on this phone. Regarding the lack of 3.5 mm headphone jack, I see no problem as the phone is bundled with an earphone which connects to the phone.And yeah If you're wondering how Siri is, let me tell you that google assistant is a much better one. I've installed google assistant and I use google assistant more than Siri as google assistant is more practical. If I were to rate google assistant and Siri on a scale, 10 being the best then I would rate Siri at 5 and google assistant at 9.Overall I'm extremely happy with my purchase as I got it at 58,500 rupees for the 64 GB version. If anyone wants to give iOS a try then I highly recommend iPhone XR as it is the latest devices from Apple at a reasonable price. The one thing that pushed me into iOS is that Apple gives OS update for 6 years and there is no delay in OS updates. On Android, it is a pain waiting for the manufacturer to release the update after Google outs the update.  I hope my simple review of iPhone XR helped you. Thank you for reading. Cheers.Update 17th Nov 2019:I'm able to download any file size app without having to depend on Wi-Fi after the recent updates. And the iOS 13 bought lots of new updates. The default image editing app included from iOS 13 is a great one and we can revert to the original image even after saving the edited photo. I love how the camera consistently delivers great images. I kinda miss the wide-angle camera on the iPhone 11 but if you have an iPhone XR it's no big deal. So far I've had no problem with my iPhone XR. With the price drop, this phone is a steal. I'm not gonna buy another latest iPhone because the price drops astronomically when a new generation iPhone is released. For people looking to try a new generation iPhone, this is the perfect deal because even the iPhone 11 has the same screen as iPhone XR. The few differences I noticed between iPhone XR and iPhone 11 is the new wide-angle camera and the front-facing camera wide-angle mode. Peace."
5,Apple iPhone XR (128GB) - Black,22 April 2019,Anand S Prasad,1.0 out of 5 stars,Never purchase a phone online.,  I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online
6,Apple iPhone XR (128GB) - Black,7 December 2018,Srikanth Jatla,5.0 out of 5 stars,Awesome iPhone,"  It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase."
7,Apple iPhone XR (128GB) - Black,25 November 2018,KAILASH C.,1.0 out of 5 stars,Exchange of I phone xr with xs.,"  The phone is hanging. Video quality is not very good.I would like to exchange the product with I phone xs, if possible.Kindly help. Regards & thank you."
8,Apple iPhone XR (128GB) - Black,27 April 2019,LDM,4.0 out of 5 stars,Worth upgrading from the 6S? I'll know in a few months,"  I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.But first, what's good.Battery life is excellent so far. Charged to 97% 16 hours ago and I'm at 77% currently - though I have not used the phone much in that period. Sound quality is a touch better than on the 6S, I think. Portrait mode on the camera is great. Everything else is more or less the same. The chip is faster, but my old phone wasn't slow in the least, so there's no palpable difference really. The screen resolution is the same, as far as I'm aware. I haven't had occasion to test the water resistance, but it's definitely good to have.What's not so good.The weight. This is supposed to be 194 grams, which is more than 30% greater than the weight of the iPhone 6S, my old phone. It certainly feels like it. Add about 25-odd grams for even the lightest case. (And you do need a case - this is a super-slippery phone.) On the plus side, you're pretty much always conscious of it being in your pocket, and you'll probably notice if it fell out.The size feels somewhat monstrous, at least for now. 6.1 inches is massive, coming from the 4.7 of the 6S. Combine the extra size with the extra weight and I feel less secure and comfortable holding this phone in one hand than I did my old phone. It generally feels less ""manoeuvrable"" than a smaller phone. And my hands are reasonably large. That translates to a somewhat poorer experience overall. Anyway, I can't complain - I knew about the size before making the purchase, but just a note for people who are thinking of upsizing. The good thing about that is that I'll probably use the phone less - which is something we all need to do, in general.Face ID has been a bit of a pain for me so far. Doesn't work when you have sunglasses on, or in low-light conditions, though it is supposed to ""learn"" your face and get better as you go along. Three weeks in, I can't say there has been much of a change. Would have loved to have an option to immediately evoke the passcode input, which now takes more than two seconds to come up after Face ID fails. The only thing I like about Face ID at the moment is that it lowers the volume of alerts if you're looking at the phone.When I'm out walking with this phone in my hand, I usually take care to have the screen angled towards the ground, so that the sensor does not ""see"" my face somehow and bring the screen to life. But it does do this off and on. Worse, when the screen comes alive like this, if a song is playing, my thumb or fingers end up skipping or re-playing the track.I don't know if the Tru Tone on my unit is wonky but the warmth of the backlighting seems to change more often than it did on my old phone.The absence of a headphone jack is, as millions of people have observed, a severe pain in the neck for those who don't want to use wireless earphones that make you look like an alien and are based on Bluetooth, which feels past its time as a protocol.Spotify is quite buggy, but then it was nearly as bad on my old phone, so that's probably a Spotify problem.People talk about the massive bezel, but to me, unless someone is pointing it out to me, I don't really notice it. It'll be different for those who have used the X, I suppose.I can't say I'm regretting having bought this. I probably wouldn't have bought it just yet, if I hadn't planned on giving my 6S to a family member. I hope it grows on me.UPDATE, 25 June 2019:Three months in, I have got completely used to the size and weight of this phone in the hand. One-handed operation is still not safe or convenient but I have stopped thinking of it as a massive phone. When I hold an iPhone 5s in my hand, it now feels impossibly small.Face ID still does not recognise my face when I'm wearing dark glasses. It does usually recognise it with or without regular glasses on, however. But sometimes, in low-light conditions, I need to move the phone up to face level before it will unlock. Apple might need to consider allowing users to add more than the one alternative look in Face ID that it does at present before this problem is solved.The problems I had with the screen waking up have almost vanished. I suppose it was the edges of my fingers touching the screen inadvertently when I held it in my hand that woke it up."
9,Apple iPhone XR (128GB) - Black,21 April 2019,Amazon Customer,1.0 out of 5 stars,Def a bad experience,  Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.The delivery and the product was perfect3 days in and I started to experience issuesA.The Phone microphone stopped working as a result I can not use any functionality of the phone no calls/no video recording/no voice recording or voice messages.B. The camera in jus the photo mode has also slowed down it takes over 15 secs to click and store a pic to galleryI have initiated a replacement option with Amazon within just 3 days of the purchase.in hindsight I now am starting to see why people shop in stores.
